county,population
Los Angeles,99516909951690
San Diego,31761383176138
Orange,30853553085355
Riverside,22648792264879
San Bernardino,20774532077453
Santa Clara,18360251836025
Alameda,15539601553960
Sacramento,14480531448053
Contra Costa,10782571078257
Fresno,947581947581
Kern,855498855498
Ventura,834398834398
San Francisco,827420827420
San Mateo,738681738681
San Joaquin,701151701151
Stanislaus,521450521450
Sonoma,490596490596
Tulare,451043451043
Santa Barbara,430426430426
Monterey,426072426072
Solano,420335420335
Placer,361420361420
San Luis Obispo,274622274622
Santa Cruz,266508266508
Merced,261632261632
Marin,255841255841
Butte,221016221016
Yolo,203838203838
El Dorado,180616180616
Shasta,178368178368
Imperial,176768176768
Madera,152235152235
Kings,151382151382
Napa,138916138916
Humboldt,134584134584
Nevada,9826798267
Sutter,9465994659
Mendocino,8737387373
Yuba,7296972969
Lake,6396563965
Tehama,6326463264
San Benito,5686956869
Tuolumne,5405054050
Calaveras,4473144731
Siskiyou,4422344223
Amador,3700337003
Lassen,3365733657
Del Norte,2824828248
Glenn,2795727957
Colusa,2135521355
Plumas,1933819338
Inyo,1844118441
Mariposa,1788817888
Mono,1434914349
Trinity,1350613506
Modoc,93469346
Sierra,30753075
Alpine,11381138
